日期,天气状况,最高温度,最低温度,白天风力风向,夜晚风力风向,,,
2021年3月10日,多云/小雨,25℃,18℃,南风1-2级,南风1-2级,,,25℃
2021年3月11日,阴/阴,23℃,19℃,北风1-2级,北风1-2级,,,23℃
2021年3月12日,阵雨/阴,26℃,20℃,北风1-2级,北风1-2级,,,26℃
2021年3月13日,阴/多云,27℃,19℃,北风1-2级,北风1-2级,,,27℃
2021年3月14日,阴/阴,27℃,19℃,北风1-2级,北风1-2级,,,27℃
2021年3月15日,阴/多云,27℃,19℃,北风1-2级,北风1-2级,,,27℃
2021年3月16日,多云/多云,28℃,19℃,北风1-2级,北风1-2级,,,28℃
2021年3月17日,多云/阴,29℃,20℃,北风1-2级,北风1-2级,,,29℃
2021年3月18日,多云/多云,28℃,21℃,北风1-2级,北风1-2级,,,28℃
2021年3月19日,多云/阴,30℃,21℃,南风1-2级,南风1-2级,,,30℃
2021年3月20日,多云/阴,30℃,18℃,北风3-4级,北风3-4级,,,30℃
2021年3月21日,小雨/小雨,18℃,13℃,北风1-2级,北风1-2级,,,18℃
2021年3月22日,多云/多云,21℃,13℃,北风1-2级,北风1-2级,,,21℃
2021年3月23日,小雨/小雨,21℃,16℃,北风1-2级,北风1-2级,,,21℃
2021年3月24日,多云/多云,26℃,18℃,北风1-2级,北风1-2级,,,26℃
2021年3月25日,多云/多云,27℃,16℃,北风1-2级,北风1-2级,,,27℃
2021年3月26日,多云/多云,28℃,19℃,北风1-2级,北风1-2级,,,28℃
2021年3月27日,阴/多云,28℃,21℃,北风1-2级,北风1-2级,,,28℃
2021年3月28日,多云/多云,30℃,22℃,北风1-2级,北风1-2级,,,30℃
2021年3月29日,多云/多云,32℃,23℃,北风1-2级,北风1-2级,,,32℃
2021年3月30日,多云/多云,32℃,23℃,南风1-2级,南风1-2级,,,32℃
2021年3月31日,多云/多云,30℃,24℃,南风3-4级,南风3-4级,,,30℃
2021年4月1日,多云/多云,32℃,24℃,南风3-4级,南风3-4级,,,32℃
2021年4月2日,多云/多云,32℃,24℃,北风1-2级,北风1-2级,,,32℃
2021年4月3日,多云/多云,32℃,25℃,北风1-2级,北风1-2级,,,32℃
2021年4月4日,多云/多云,29℃,20℃,北风3-4级,北风3-4级,,,29℃
2021年4月5日,阴/多云,28℃,21℃,北风1-2级,北风1-2级,,,28℃
2021年4月6日,阴/多云,30℃,22℃,北风1-2级,北风1-2级,,,30℃
2021年4月7日,小雨/中雨,28℃,20℃,北风1-2级,北风1-2级,,,28℃
2021年4月8日,中雨/小雨,23℃,18℃,北风1-2级,北风1-2级,,,23℃
2021年4月9日,阴/阴,22℃,19℃,北风1-2级,北风1-2级,,,22℃
2021年4月10日,阴/多云,25℃,19℃,北风1-2级,北风1-2级,,,25℃
2021年4月11日,阴/多云,28℃,19℃,北风1-2级,北风1-2级,,,28℃
2021年4月12日,阴/多云,29℃,21℃,北风1-2级,北风1-2级,,,29℃
2021年4月13日,多云/多云,30℃,22℃,北风1-2级,北风1-2级,,,30℃
2021年4月14日,多云/雷阵雨,31℃,23℃,北风1-2级,北风1-2级,,,31℃
2021年4月15日,暴雨/中雨,27℃,21℃,北风1-2级,北风1-2级,,,27℃
2021年4月16日,中雨/中雨,23℃,21℃,北风1-2级,北风1-2级,,,23℃
2021年4月17日,雷阵雨/阴,24℃,20℃,北风1-2级,北风1-2级,,,24℃
2021年4月18日,小雨/小雨,24℃,19℃,北风1-2级,北风1-2级,,,24℃
2021年4月19日,雷阵雨/阴,22℃,19℃,北风1-2级,北风1-2级,,,22℃
2021年4月20日,阴/阴,25℃,20℃,北风1-2级,北风1-2级,,,25℃
2021年4月21日,阴/多云,28℃,21℃,南风1-2级,南风1-2级,,,28℃
2021年4月22日,多云/多云,30℃,22℃,北风1-2级,北风1-2级,,,30℃
2021年4月23日,多云/多云,31℃,23℃,北风1-2级,北风1-2级,,,31℃
2021年4月24日,雷阵雨/雷阵雨,32℃,25℃,北风1-2级,北风1-2级,,,32℃
2021年4月25日,雷阵雨/中雨,25℃,20℃,北风1-2级,北风1-2级,,,25℃
2021年4月26日,雷阵雨/雷阵雨,26℃,21℃,北风1-2级,北风1-2级,,,26℃
2021年4月27日,中雨/大雨,25℃,21℃,北风1-2级,北风1-2级,,,25℃
2021年4月28日,中雨/小雨,23℃,19℃,北风1-2级,北风1-2级,,,23℃
2021年4月29日,多云/多云,27℃,18℃,北风1-2级,北风1-2级,,,27℃
2021年4月30日,多云/晴,29℃,19℃,北风1-2级,北风1-2级,,,29℃
2021年5月1日,多云/多云,31℃,23℃,北风1-2级,北风1-2级,,,31℃
2021年5月2日,小雨/雷阵雨,30℃,22℃,北风1-2级,北风1-2级,,,30℃
2021年5月3日,雷阵雨/多云,30℃,23℃,南风3-4级,南风3-4级,,,30℃
2021年5月4日,小雨/小雨,30℃,21℃,北风1-2级,北风1-2级,,,30℃
2021年5月5日,阴/阴,28℃,21℃,北风1-2级,北风1-2级,,,28℃
2021年5月6日,阴/阴,31℃,22℃,北风1-2级,北风1-2级,,,31℃
2021年5月7日,雷阵雨/多云,32℃,23℃,北风1-2级,北风1-2级,,,32℃
2021年5月8日,雷阵雨/多云,33℃,23℃,西南风1-2级,西南风1-2级,,,33℃
2021年5月9日,雷阵雨/雷阵雨,34℃,24℃,北风1-2级,北风1-2级,,,34℃
2021年5月10日,阴/多云,32℃,24℃,北风1-2级,北风1-2级,,,32℃
2021年5月11日,多云/多云,34℃,25℃,南风1-2级,南风1-2级,,,34℃
2021年5月12日,多云/雷阵雨,34℃,25℃,北风1-2级,北风1-2级,,,34℃
2021年5月13日,多云/多云,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年5月14日,雷阵雨/多云,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年5月15日,多云/多云,34℃,27℃,南风1-2级,南风1-2级,,,34℃
2021年5月16日,雷阵雨/雷阵雨,35℃,26℃,南风3-4级,南风3-4级,,,35℃
2021年5月17日,大雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2021年5月18日,中雨/阵雨,32℃,26℃,北风1-2级,北风1-2级,,,32℃
2021年5月19日,雷阵雨/阴,33℃,26℃,南风1-2级,南风1-2级,,,33℃
2021年5月20日,多云/多云,34℃,28℃,北风1-2级,北风1-2级,,,34℃
2021年5月21日,阴/阴,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年5月22日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年5月23日,多云/雷阵雨,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2021年5月24日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年5月25日,中雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年5月26日,多云/多云,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年5月27日,雷阵雨/阴,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年5月28日,雷阵雨/雷阵雨,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2021年5月29日,雷阵雨/多云,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2021年5月30日,大雨/中雨,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年5月31日,中雨/大雨,30℃,24℃,北风1-2级,北风1-2级,,,30℃
2021年6月1日,大雨/中雨,32℃,26℃,北风1-2级,北风1-2级,,,32℃
2021年6月2日,大雨/雷阵雨,31℃,26℃,北风1-2级,北风1-2级,,,31℃
2021年6月3日,中雨/中雨,35℃,24℃,北风1-2级,北风1-2级,,,35℃
2021年6月4日,大雨/小雨,28℃,23℃,北风1-2级,北风1-2级,,,28℃
2021年6月4日,大雨/小雨,28℃,23℃,北风1-2级,北风1-2级,,,28℃
2021年6月4日,大雨/小雨,28℃,23℃,北风1-2级,北风1-2级,,,28℃
2021年6月5日,阴/多云,32℃,24℃,北风1-2级,北风1-2级,,,32℃
2021年6月6日,多云/多云,32℃,24℃,北风1-2级,北风1-2级,,,32℃
2021年6月7日,中雨/阵雨,31℃,24℃,北风1-2级,北风1-2级,,,31℃
2021年6月8日,多云/雷阵雨,35℃,25℃,北风1-2级,北风1-2级,,,35℃
2021年6月9日,雷阵雨/雷阵雨,34℃,25℃,北风1-2级,北风1-2级,,,34℃
2021年6月10日,雷阵雨/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年6月11日,雷阵雨/雷阵雨,34℃,25℃,北风1-2级,北风1-2级,,,34℃
2021年6月12日,中雨/中雨,31℃,24℃,北风1-2级,北风1-2级,,,31℃
2021年6月13日,中雨/雷阵雨,32℃,27℃,东南风3-4级,东南风3-4级,,,32℃
2021年6月14日,雷阵雨/多云,31℃,25℃,北风1-2级,北风1-2级,,,31℃
2021年6月15日,雷阵雨/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年6月16日,雷阵雨/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年6月17日,多云/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年6月18日,多云/多云,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年6月19日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年6月20日,多云/多云,35℃,28℃,北风1-2级,北风1-2级,,,35℃
2021年6月21日,雷阵雨/大雨,35℃,25℃,北风1-2级,北风1-2级,,,35℃
2021年6月22日,中雨/大雨,30℃,25℃,北风1-2级,北风1-2级,,,30℃
2021年6月23日,中雨/雷阵雨,30℃,25℃,北风1-2级,北风1-2级,,,30℃
2021年6月24日,大雨/阴,29℃,24℃,北风1-2级,北风1-2级,,,29℃
2021年6月25日,雷阵雨/雷阵雨,32℃,26℃,北风1-2级,北风1-2级,,,32℃
2021年6月26日,雷阵雨/多云,35℃,25℃,北风1-2级,北风1-2级,,,35℃
2021年6月27日,雷阵雨/多云,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年6月28日,小雨/雷阵雨,32℃,26℃,北风1-2级,北风1-2级,,,32℃
2021年6月29日,中雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年6月30日,雷阵雨/雷阵雨,33℃,27℃,南风1-2级,南风1-2级,,,33℃
2021年7月1日,多云/多云,35℃,28℃,北风1-2级,北风1-2级,,,35℃
2021年7月2日,中雨/多云,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2021年7月3日,多云/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年7月4日,多云/多云,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2021年7月5日,多云/晴,35℃,28℃,北风1-2级,北风1-2级,,,35℃
2021年7月6日,雷阵雨/雷阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年7月7日,雷阵雨/雷阵雨,33℃,27℃,北风1-2级,北风1-2级,,,33℃
2021年7月8日,多云/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年7月9日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年7月10日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年7月11日,多云/多云,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年7月12日,多云/多云,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年7月13日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年7月14日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年7月15日,多云/多云,37℃,27℃,北风1-2级,北风1-2级,,,37℃
2021年7月16日,雷阵雨/雷阵雨,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年7月17日,雷阵雨/雷阵雨,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年7月18日,雷阵雨/雷阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年7月19日,中雨/小雨,31℃,26℃,北风1-2级,北风1-2级,,,31℃
2021年7月20日,大雨/雷阵雨,30℃,25℃,北风1-2级,北风1-2级,,,30℃
2021年7月21日,中雨/雷阵雨,30℃,26℃,东风3-4级,东风3-4级,,,30℃
2021年7月22日,阵雨/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年7月23日,晴/晴,37℃,27℃,北风1-2级,北风1-2级,,,37℃
2021年7月24日,多云/晴,37℃,27℃,北风1-2级,北风1-2级,,,37℃
2021年7月25日,多云/多云,36℃,28℃,北风1-2级,北风1-2级,,,36℃
2021年7月26日,雷阵雨/多云,37℃,27℃,北风1-2级,北风1-2级,,,37℃
2021年7月27日,多云/多云,37℃,28℃,北风1-2级,北风1-2级,,,37℃
2021年7月28日,雷阵雨/雷阵雨,37℃,28℃,北风1-2级,北风1-2级,,,37℃
2021年7月29日,中雨/雷阵雨,36℃,26℃,北风1-2级,北风1-2级,,,36℃
2021年7月30日,中雨/雷阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年7月31日,中雨/雷阵雨,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年8月1日,雷阵雨/多云,34℃,25℃,北风1-2级,北风1-2级,,,34℃
2021年8月2日,雷阵雨/雷阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年8月3日,雷阵雨/雷阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年8月4日,中雨/雷阵雨,31℃,26℃,北风1-2级,北风1-2级,,,31℃
2021年8月5日,雷阵雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年8月6日,中雨/雷阵雨,32℃,26℃,北风1-2级,北风1-2级,,,32℃
2021年8月7日,中雨/小雨,33℃,26℃,西南风1-2级,西南风1-2级,,,33℃
2021年8月8日,雷阵雨/雷阵雨,32℃,27℃,北风1-2级,北风1-2级,,,32℃
2021年8月9日,雷阵雨/雷阵雨,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年8月10日,雷阵雨/雷阵雨,30℃,26℃,北风1-2级,北风1-2级,,,30℃
2021年8月11日,中雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年8月12日,中雨/雷阵雨,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2021年8月13日,雷阵雨/雷阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年8月14日,中雨/雷阵雨,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年8月15日,中雨/雷阵雨,32℃,25℃,北风1-2级,北风1-2级,,,32℃
2021年8月16日,雷阵雨/多云,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2021年8月17日,多云/多云,34℃,27℃,北风1-2级,北风1-2级,,,34℃
2021年8月18日,雷阵雨/阴,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年8月19日,雷阵雨/多云,33℃,25℃,北风1-2级,北风1-2级,,,33℃
2021年8月20日,多云/多云,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年8月21日,晴/晴,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年8月22日,多云/多云,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年8月23日,多云/多云,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年8月24日,多云/多云,36℃,27℃,北风1-2级,北风1-2级,,,36℃
2021年8月25日,雷阵雨/多云,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年8月26日,雷阵雨/雷阵雨,35℃,27℃,北风1-2级,北风1-2级,,,35℃
2021年8月27日,雷阵雨/雷阵雨,35℃,26℃,北风1-2级,北风1-2级,,,35℃
2021年8月28日,雷阵雨/多云,33℃,26℃,北风1-2级,北风1-2级,,,33℃
2021年8月29日,雷阵雨/雷阵雨,32℃,25℃,北风1-2级,北风1-2级,,,32℃
2021年8月30日,阵雨/阵雨,34℃,26℃,北风1-2级,北风1-2级,,,34℃
2021年8月31日,雷阵雨/阵雨,32℃,26℃,北风1-2级,北风1-2级,,,32℃
